"","anon_id","n","...1","L1","gender","course_id","level_id","activity_type","file_info_id","file_type","source","corresponding_file","corresponding_family","text_len","text","tokens","tok_lem_POS"
"1","ac5",3,18683,"Korean","Male",235,3,"RSA",1,"wav","wav/RSA_3/18683_ac5.wav",18684,"[18684, 18683, 19250, 18719, 18720]",NA,NA,NA,NA
"2","ac5",3,19866,"Korean","Male",235,3,"RSA",1,"wav","wav/RSA_3/19866_ac5.wav",19867,"[19867, 19866, 20329, 19882, 19898]",NA,NA,NA,NA
"3","ac5",3,20977,"Korean","Male",235,3,"RSA",1,"wav","wav/RSA_3/20977_ac5.wav",20978,"[20978, 20977, 21179, 20988, 21499, 21003]",NA,NA,NA,NA
"4","ac5",3,25613,"Korean","Male",350,5,"RSA",1,"wav","wav/RSA_5/25613_ac5.wav",25614,"[25614, 25613, 26178, 25633, 25642]",NA,NA,NA,NA
"5","ac5",3,26877,"Korean","Male",350,5,"RSA",1,"wav","wav/RSA_5/26877_ac5.wav",26878,"[26878, 26877, 27839, 26893, 26898]",NA,NA,NA,NA
"6","ac5",3,28006,"Korean","Male",350,5,"RSA",1,"wav","wav/RSA_5/28006_ac5.wav",28007,"[28007, 28006, 28391, 28013, 28435, 28017]",NA,NA,NA,NA
"7","ag9",3,43220,"Korean","Female",543,5,"RSA",1,"wav","wav/RSA_5/43220_ag9.wav",43221,"[43221, 43220, 43614, 43242, 43246]",NA,NA,NA,NA
"8","ag9",3,44029,"Korean","Female",543,5,"RSA",1,"wav","wav/RSA_5/44029_ag9.wav",44030,"[44030, 44029, 44402, 44051, 44059]",NA,NA,NA,NA
"9","ag9",3,45127,"Korean","Female",543,5,"RSA",1,"wav","wav/RSA_5/45127_ag9.wav",45128,"[45128, 45127, 45347, 45148, 45750, 45155]",NA,NA,NA,NA
"10","at8",3,6237,"Korean","Female",129,5,"RSA",1,"wav","wav/RSA_5/6237_at8.wav",6238,"[6238, 6237, 6519, 6259, 6273]",NA,NA,NA,NA
"11","at8",3,10099,"Korean","Female",129,5,"RSA",1,"wav","wav/RSA_5/10099_at8.wav",10100,"[10100, 10099, 10114, 10106, 10308, 10107]",NA,NA,NA,NA
"12","at8",3,15075,"Korean","Female",33,3,"RSA",1,"wav","wav/RSA_3/15075_at8.wav",15077,"[15077, 15075, 15074, 15072]",NA,NA,NA,NA
"13","at8",3,15166,"Korean","Female",33,3,"RSA",1,"wav","wav/RSA_3/15166_at8.wav",15167,"[15167, 15166, 15165, 15163]",NA,NA,NA,NA
"14","at8",3,15249,"Korean","Female",33,3,"RSA",1,"wav","wav/RSA_3/15249_at8.wav",15251,"[15251, 15249, 15248, 15246]",NA,NA,NA,NA
"15","at8",3,15344,"Korean","Female",33,3,"RSA",1,"wav","wav/RSA_3/15344_at8.wav",15346,"[15346, 15344, 15347, 15342, 15343, 15341]",NA,NA,NA,NA
"16","ay1",3,26119,"Korean","Male",330,3,"RSA",1,"wav","wav/RSA_3/26119_ay1.wav",26120,"[26120, 26119, 26529, 26140, 26146]",NA,NA,NA,NA
"17","ay1",3,27550,"Korean","Male",330,3,"RSA",1,"wav","wav/RSA_3/27550_ay1.wav",27551,"[27551, 27550, 27852, 27569, 27575]",NA,NA,NA,NA
"18","ay1",3,28317,"Korean","Male",330,3,"RSA",1,"wav","wav/RSA_3/28317_ay1.wav",28318,"[28318, 28317, 28381, 28343, 28665, 28350]",NA,NA,NA,NA
"19","ay1",3,33444,"Korean","Male",453,5,"RSA",1,"wav","wav/RSA_5/33444_ay1.wav",33445,"[33445, 33444, 34064, 33483, 33489]",NA,NA,NA,NA
"20","ay1",3,35552,"Korean","Male",453,5,"RSA",1,"wav","wav/RSA_5/35552_ay1.wav",35553,"[35553, 35552, 36016, 35574, 35576]",NA,NA,NA,NA
"21","ay1",3,36739,"Korean","Male",453,5,"RSA",1,"wav","wav/RSA_5/36739_ay1.wav",36740,"[36740, 36739, 36933, 36762, 36767]",NA,NA,NA,NA
"22","be7",3,26078,"Korean","Male",335,3,"RSA",1,"wav","wav/RSA_3/26078_be7.wav",26079,"[26079, 26078, 26516, 26101, 26106]",NA,NA,NA,NA
"23","be7",3,27504,"Korean","Male",335,3,"RSA",1,"wav","wav/RSA_3/27504_be7.wav",27505,"[27505, 27504, 27832, 27523, 27529]",NA,NA,NA,NA
"24","be7",3,28275,"Korean","Male",335,3,"RSA",1,"wav","wav/RSA_3/28275_be7.wav",28276,"[28276, 28275, 28470, 28291, 28647, 28305]",NA,NA,NA,NA
"25","be7",3,33125,"Korean","Male",442,5,"RSA",1,"wav","wav/RSA_5/33125_be7.wav",33126,"[33126, 33125, 33376, 33143, 33148]",NA,NA,NA,NA
"26","be7",3,37188,"Korean","Male",442,5,"RSA",1,"wav","wav/RSA_5/37188_be7.wav",37189,"[37189, 37188, 37491, 37190, 37191]",NA,NA,NA,NA
"27","be7",3,37196,"Korean","Male",442,5,"RSA",1,"wav","wav/RSA_5/37196_be7.wav",37197,"[37197, 37196, 37198, 37199]",NA,NA,NA,NA
"28","bv9",3,46576,"Korean","Male",562,3,"RSA",1,"wav","wav/RSA_3/46576_bv9.wav",46577,"[46577, 46576, 46826, 46601, 46608]",NA,NA,NA,NA
"29","bv9",3,47868,"Korean","Male",562,3,"RSA",1,"wav","wav/RSA_3/47868_bv9.wav",47869,"[47869, 47868, 48015, 47888, 47905]",NA,NA,NA,NA
"30","bv9",3,48960,"Korean","Male",562,3,"RSA",1,"wav","wav/RSA_3/48960_bv9.wav",48961,"[48961, 48960, 49374, 48981, 48989]",NA,NA,NA,NA
"31","bz5",3,18733,"Korean","Male",234,3,"RSA",1,"wav","wav/RSA_3/18733_bz5.wav",18734,"[18734, 18733, 19239, 18747, 18763]",NA,NA,NA,NA
"32","bz5",3,19930,"Korean","Male",234,3,"RSA",1,"wav","wav/RSA_3/19930_bz5.wav",19931,"[19931, 19930, 20372, 19932, 19935]",NA,NA,NA,NA
"33","bz5",3,21021,"Korean","Male",234,3,"RSA",1,"wav","wav/RSA_3/21021_bz5.wav",21022,"[21022, 21021, 21202, 21043, 21507, 21067]",NA,NA,NA,NA
"34","bz5",3,26113,"Korean","Male",355,5,"RSA",1,"wav","wav/RSA_5/26113_bz5.wav",26114,"[26114, 26113, 26154, 26117, 26118]",NA,NA,NA,NA
"35","bz5",3,26812,"Korean","Male",355,5,"RSA",1,"wav","wav/RSA_5/26812_bz5.wav",26813,"[26813, 26812, 27594, 26843, 26848]",NA,NA,NA,NA
"36","bz5",3,27971,"Korean","Male",355,5,"RSA",1,"wav","wav/RSA_5/27971_bz5.wav",27972,"[27972, 27971, 28253, 27987, 28410, 27996]",NA,NA,NA,NA
