"","Filename","PrecedingPhone","PhoneLabel","FollowingPhone","StartingPoint","PhoneDuration","PitchMaxInPhone","SyllLabel","SyllDuration","WordLabel","WordDuration","IsVowel","...13","gender","level_id","PrimaryStress","SecondaryStress","SyllCV"
"1","21819_ea4",NA,"M","FP",0,1.756,"288","1_1",2.111,NA,1.756,"no",NA,"Male",3,NA,NA,NA
"2","21819_ea4","M","FP","1_wV",1.756,0.355,"101","1_1",2.111,"FP",0.355,"no",NA,"Male",3,NA,NA,NA
"3","21819_ea4","FP","1_wV","1_n",2.111,0.12,"116","1_1",0.14,"when",0.14,"yes",NA,"Male",3,1,0,"CVC"
"4","21819_ea4","1_n","1_VV","1_h",2.251,0.138,"131","1_1",0.138,"I",0.138,"yes",NA,"Male",3,1,0,"VV"
"5","21819_ea4","1_VV","1_h","1_V",2.389,0.111,"131","1_1",0.553,"have",0.553,"no",NA,"Male",3,1,0,"CVC"
"6","21819_ea4","1_v","1_f","1_rV",2.942,0.142,"--undefined--","1_1",0.247,"free",0.247,"no",NA,"Male",3,NA,NA,NA
"7","21819_ea4","1_rV","1_t_vot","1_VV",3.258,0.057,"--undefined--","1_1",0.501,"time",0.501,"no",NA,"Male",3,1,0,"CVVC"
"8","21819_ea4","S","1_Vl","1_rV",5.121,0.404,"105","1_1",0.404,"I'll",0.404,"yes",NA,"Male",3,1,0,"VVC"
"9","21819_ea4","1_Vl","1_rV","1_d",5.525,0.195,"104","1_1",0.205,"read",0.205,"yes",NA,"Male",3,NA,NA,NA
"10","21819_ea4","1_d","1_V","1_b_vot",5.765,0.151,"99","1_1",0.151,"a",0.151,"yes",NA,"Male",3,0,0,"V"
"11","21819_ea4","1_V","1_b_vot","1_V",6.02,0.01,"--undefined--","1_1",0.235,"book",0.235,"no",NA,"Male",3,NA,NA,NA
"12","21819_ea4","FP","1_rV","2_d",8.254,0.105,"117","1_2",0.105,"reading",0.296,"yes",NA,"Male",3,NA,NA,NA
"13","21819_ea4","1_rV","2_d","2_V",8.359,0.043,"123","2_2",0.191,"reading",0.296,"no",NA,"Male",3,NA,NA,NA
"14","21819_ea4","2_V","1_V","1_s",8.55,0.323,"129","1_1",0.436,"is",0.436,"yes",NA,"Male",3,1,0,"VC"
"15","21819_ea4","S","1_rV","2_d",9.574,0.096,"114","1_2",0.096,"reading's",0.628,"yes",NA,"Male",3,NA,NA,NA
"16","21819_ea4","1_rV","2_d","2_V",9.67,0.043,"114","2_2",0.532,"reading's",0.628,"no",NA,"Male",3,NA,NA,NA
"17","21819_ea4","2_s","S","FP",10.202,0.404,"294","2_2",0.779,NA,0.404,"no",NA,"Male",3,NA,NA,NA
"18","21819_ea4","S","FP","1_g_vot",10.606,0.297,"133","2_2",0.779,"FP",0.297,"no",NA,"Male",3,NA,NA,NA
"19","21819_ea4","FP","1_g_vot","1_V",10.981,0.04,"--undefined--","1_1",0.287,"gives",0.287,"no",NA,"Male",3,NA,NA,NA
"20","21819_ea4","1_s","1_t_vot","1_V",11.283,0.016,"112","1_1",0.071,"to",0.071,"no",NA,"Male",3,1,0,"CV"
"21","21819_ea4","1_V","1_m","1_V",11.353,0.064,"98","1_1",0.303,"me",0.303,"no",NA,"Male",3,1,0,"CV"
"22","21819_ea4","S","1_m","1_V",13.308,0.096,"97","1_2",0.232,"many",0.387,"no",NA,"Male",3,1,0,"CV"
"23","21819_ea4","1_V","2_n","2_V",13.54,0.091,"103","2_2",0.155,"many",0.387,"no",NA,"Male",3,1,0,"CV"
"24","21819_ea4","2_V","1_V","1_n",13.695,0.03,"108","1_4",0.1,"information",0.67,"yes",NA,"Male",3,NA,NA,NA
"25","21819_ea4","1_n","2_f","2_Vr",13.795,0.043,"427","2_4",0.096,"information",0.67,"no",NA,"Male",3,NA,NA,NA
"26","21819_ea4","2_Vr","3_m","3_V",13.891,0.071,"118","3_4",0.208,"information",0.67,"no",NA,"Male",3,NA,NA,NA
"27","21819_ea4","3_V","4_ʃ","4_V",14.099,0.139,"117","4_4",0.266,"information",0.67,"no",NA,"Male",3,NA,NA,NA
"28","21819_ea4","4_n","1_V","1_n",14.365,0.164,"96","1_1",0.446,"and",0.446,"yes",NA,"Male",3,0,0,"VCC"
"29","21819_ea4","1_d","1_n","1_V",14.811,0.079,"98","1_2",0.243,"knowledge",0.725,"no",NA,"Male",3,NA,NA,NA
"30","21819_ea4","1_V","2_lV","2_ʤ",15.054,0.125,"109","2_2",0.483,"knowledge",0.725,"yes",NA,"Male",3,NA,NA,NA
"31","21819_ea4","FP","1_ʤ","1_VV",18.043,0.068,"--undefined--","1_1",0.407,"joy",0.407,"no",NA,"Male",3,NA,NA,NA
"32","21819_ea4","1_n","1_ð","1_V",20.646,0.021,"118","1_1",0.451,"then",0.451,"no",NA,"Male",3,NA,NA,NA
"33","21819_ea4","S","1_lVV","S",25.945,0.258,"120","1_1",0.258,"like",0.258,"yes",NA,"Male",3,1,0,"CVVC"
"34","21819_ea4","S","1_wV","2_cd",27.04,0.152,"121","1_2",0.152,"walking",0.411,"yes",NA,"Male",3,NA,NA,NA
"35","21819_ea4","1_wV","2_cd","2_k_vot",27.192,0.076,"--undefined--","2_2",0.258,"walking",0.411,"no",NA,"Male",3,NA,NA,NA
"36","21819_ea4","1_n","1_k_vot","1_lVV",27.723,0.099,"--undefined--","1_2",0.319,"climbing",0.551,"no",NA,"Male",3,NA,NA,NA
"37","21819_ea4","1_lVV","2_m","2_V",28.043,0.075,"107","2_2",0.232,"climbing",0.551,"no",NA,"Male",3,NA,NA,NA
"38","21819_ea4","S","1_ð","1_V",28.618,0.013,"--undefined--","1_1",0.059,"the",0.059,"no",NA,"Male",3,0,0,"CV"
"39","21819_ea4","1_V","1_m","1_VV",28.678,0.071,"95","1_2",0.268,"mountain",0.594,"no",NA,"Male",3,NA,NA,NA
"40","21819_ea4","1_n","2_cd","2_t_vot",28.945,0.064,"107","2_2",0.326,"mountain",0.594,"no",NA,"Male",3,NA,NA,NA
"41","21819_ea4","FP","1_V","2_s",34.999,0.086,"103","1_3",0.086,"exercise",0.718,"yes",NA,"Male",3,NA,NA,NA
"42","21819_ea4","1_V","2_s","3_s",35.085,0.095,"100","2_3",0.095,"exercise",0.718,"no",NA,"Male",3,NA,NA,NA
"43","21819_ea4","2_s","3_s","3_VV",35.18,0.141,"112","3_3",0.537,"exercise",0.718,"no",NA,"Male",3,NA,NA,NA
"44","21819_ea4","3_s","S","1_V",35.717,0.713,"91","3_3",0.713,NA,0.713,"no",NA,"Male",3,NA,NA,NA
