WordLabel,SyllLabel,PrimaryStress,SecondaryStress,SyllCV
***,NA,NA,NA,NA
the,1_1,0,0,CV
topic,1_2,1,0,CV
topic,2_2,1,0,CVC
is:,1_1,1,0,VC
what,1_1,1,0,CVC
do,1_1,1,0,CV
you,1_1,1,0,CV
think,1_1,1,0,CVCC
*,1_1,NA,NA,NA
are,1_1,1,0,VC
most,1_1,1,0,CVCC
important,1_3,2,1,VC
important,2_3,2,1,CVC
important,3_3,2,1,CVCC
things:,1_1,1,0,CVCC
in,1_1,1,0,VC
life,1_1,1,0,CVVC
**,1_1,NA,NA,NA
FP,1_1,NA,NA,NA
I,1_1,1,0,VV
health,1_1,1,0,CVCC
and,1_1,0,0,VCC
family,1_3,1,0,CV
family,2_3,1,0,CVC
family,3_3,1,0,CV
***,3_3,NA,NA,NA
these,1_1,1,0,CVC
days,1_1,1,0,CVVC
feel,1_1,1,0,CVC
like,1_1,1,0,CVVC
really,1_2,1,0,CVC
really,2_2,1,0,CV
miss,1_1,1,0,CVC
my,1_1,1,0,CVV
because,1_2,2,0,CV
because,2_2,2,0,CVC
*,2_2,NA,NA,NA
haven't,1_2,1,0,CV
haven't,2_2,1,0,CVCC
seen:,1_1,1,0,CVC
them,1_1,1,0,CVC
for,1_1,1,0,CVC
a,1_1,0,0,V
long,1_1,1,0,CVC
time,1_1,1,0,CVVC
***,1_1,NA,NA,NA
they,1_1,1,0,CVV
can,1_1,1,0,CVC
do:,1_1,1,0,CV
everything,1_3,1,3,V
everything,2_3,1,3,CCV
everything,3_3,1,3,CVC
me,1_1,1,0,CV
we:,1_1,1,0,CV
we,1_1,1,0,CV
love,1_1,1,0,CVC
each,1_1,1,0,VC
other,1_2,1,0,V
other,2_2,1,0,CVC
***,2_2,NA,NA,NA
is,1_1,1,0,VC
also,1_2,1,0,VC
also,2_2,1,0,CV
**,2_2,NA,NA,NA
if,1_1,1,0,VC
I:,1_1,1,0,VV
I'm,1_1,1,0,VVC
not,1_1,1,0,CVC
healthy,1_2,1,0,CVC
healthy,2_2,1,0,CV
cannot,1_2,1,0,CVC
cannot,2_2,1,0,CVC
anything,1_3,1,3,V
anything,2_3,1,3,CV
anything,3_3,1,3,CVC
**,3_3,NA,NA,NA
was:,1_1,1,0,CVC
was,1_1,1,0,CVC
sick,1_1,1,0,CVC
before,1_2,2,0,CV
before,2_2,2,0,CVC
came,1_1,1,0,CVVC
here,1_1,1,0,CVC
but,1_1,1,0,CVC
at,1_1,1,0,VC
that,1_1,1,0,CVC
couldn't,1_2,1,0,CV
couldn't,2_2,1,0,CVCC
so,1_1,1,0,CV
really,1_1,NA,NA,NA
when,1_1,1,0,CVC
middle,1_2,1,0,CV
middle,2_2,1,0,CVC
school,1_1,1,0,CCVC
high,1_1,1,0,CVV
used,1_1,1,0,CVCC
to,1_1,1,0,CV
friends,1_1,1,0,CCVCC
